# x_1,x_2,Class_label
5.04324108e+01,7.10231765e+01,0
-9.94727598e+01,7.84895962e+01,2
1.07631038e+01,-8.10555170e+01,1
-8.27817508e+01,6.80953783e+01,2
9.15968328e+01,-1.92263696e+02,1
-9.60379062e+01,7.69549097e+01,2
1.17211522e+02,-1.81792041e+02,1
1.43156177e+02,-2.28392532e+02,1
-4.84216708e+01,6.89049111e+01,2
1.05160334e+01,-1.15790850e+02,1
-6.13068502e+01,3.98795902e+01,2
7.95234464e+01,2.37683198e+01,0
-9.92667692e+01,5.08136759e+01,2
8.83267636e+01,2.01295075e+01,0
-1.34087096e+02,6.90984229e+01,2
-4.45481412e+01,-6.41279601e+01,1
2.08368113e+01,1.21417054e+02,0
-5.37819599e+01,-7.62627549e+01,1
1.44761093e+02,-2.13260473e+02,1
6.34066764e+01,-1.91982626e+02,1
-1.62040642e+02,4.87299833e+01,2
-8.19430802e+01,3.31481384e+01,2
5.37233101e+01,7.35900912e+01,0
2.86471608e+01,-1.21645543e+02,1
6.86856636e+01,6.54529857e+01,0
1.44438609e+02,-2.17198916e+02,1
-8.01755254e+01,6.47464695e+01,2
9.01835208e+01,-1.74109396e+02,1
6.23794516e+01,3.24439471e+01,0
5.84695638e+01,-1.23477095e+02,1
-1.33116785e+02,5.23883092e+01,2
-1.14728225e+02,7.08450413e+01,2
3.33845443e+01,7.93415423e+01,0
-9.14921624e+01,5.19967600e+01,2
1.57799383e+02,-2.32416454e+02,1
-6.63587131e+01,4.88997424e+01,2
6.85652704e+01,4.09798452e+01,0
7.89789699e+01,-1.73324933e+02,1
-3.29134312e+01,5.46371577e+01,2
9.54465157e+01,-1.65636086e+02,1
-1.39487424e+02,5.50481557e+01,2
8.33647438e+01,2.40378453e+01,0
-4.61546258e+01,2.84539935e+01,2
9.34794306e+01,-1.41090347e+02,1
1.76286012e+01,-1.05020061e+02,0
1.89866450e+01,-1.52010408e+02,1
4.33087903e+01,7.67637578e+01,0
3.50620393e+01,5.05483456e+01,0
1.11843938e+02,-7.05266762e+00,0
3.86181796e+01,7.63034948e+01,0
-1.15903497e+02,5.08311602e+01,2
-4.05156507e+01,-9.21559669e+01,1
7.03413584e+01,5.56432136e+01,2
9.09696331e+01,-1.85865381e+02,1
1.21892660e+02,-2.02556802e+02,1
9.25141791e+01,1.83025134e+01,0
-1.03089941e+02,6.15007729e+01,2
1.37822823e+02,-2.04175126e+02,1
-3.30582047e+01,5.09309967e+01,2
2.86856355e+01,1.08884924e+02,0
5.73910894e+01,6.87349632e+01,0
-1.67739639e+02,8.75089490e+01,2
-1.83521072e+00,-9.98797722e+01,1
1.38242774e+02,-2.36753279e+02,1
-1.65242811e+02,1.01299572e+02,2
1.32230459e+02,-2.18369027e+02,1
5.66729636e+01,-1.08912560e+02,1
-5.81083637e+01,3.74073525e+01,2
-6.83115409e+01,4.86915041e+01,2
8.35205130e+01,2.16439589e+01,0
1.43785144e+02,-2.34444462e+02,1
1.06042838e+01,1.39479052e+02,0
-1.02821369e+02,5.05694391e+01,2
8.01896444e+01,-1.42781894e+02,1
6.42439790e+01,-1.28489437e+02,1
5.30899908e+01,5.42171575e+01,0
-2.72195608e+01,7.21128081e+01,2
9.92965522e+01,-1.99221346e+02,1
-1.82040276e+02,7.89974537e+01,2
-1.43321403e+02,5.85917183e+01,2
6.08460068e+01,8.93126369e+01,1
2.34191153e+02,-2.88170610e+02,1
-6.82820704e+01,6.81654799e+01,2
-1.00316525e+02,6.61865203e+01,2
2.08000136e+01,1.12754048e+02,0
3.08232600e+01,-1.32541191e+02,1
4.11779979e+00,-8.54573973e+01,1
7.68118692e+01,2.04950043e+01,0
1.12919366e+02,-2.23785017e+02,1
1.28547102e+02,-3.90430336e+01,0
-9.38850978e+00,-8.39293641e+01,1
-1.28069437e+02,9.31541393e+01,2
4.72467733e+01,7.29805989e+01,0
4.43343581e+01,8.98934226e+01,0
-4.56461800e+01,5.57606636e+01,2
1.20422843e+01,-1.53017926e+02,1
-8.35086401e+01,3.13171411e+01,0
2.79184417e+01,9.59684100e+01,2
8.88582175e+01,1.46019251e+01,0
-2.39501506e+01,1.68750286e+02,0
-6.07742844e+01,3.40991027e+01,2
-7.43665972e+01,4.35642318e+01,0
6.43425112e+01,5.55105128e+01,0
-1.41165526e+02,6.04399276e+01,2
2.57193172e+02,-3.06609353e+02,1
-1.12238126e+02,5.30446272e+00,1
5.67103480e+01,-1.51185854e+02,1
4.46318525e+01,7.56480257e+01,0
7.03250747e+01,5.21431712e+01,0
2.75733637e+01,8.02934346e+01,0
8.87857042e+01,-1.75737442e+02,1
7.84383762e+01,4.86610089e+01,0
-1.18352468e+02,5.72448084e+01,2
-1.02204268e+02,8.13620634e+01,2
-1.44168143e+02,6.59913408e+01,2
1.03862435e+02,1.98236277e+01,0
1.75570574e+02,-2.45732893e+02,1
1.17025258e+02,-1.68378061e+01,0
6.38599239e+01,2.83853159e+01,0
4.49115045e+01,5.36421084e+01,0
1.14388592e+01,1.46234916e+02,0
-1.27000516e+02,5.70279886e+01,2
-1.46127775e+02,8.05805265e+01,2
-1.88703800e+01,1.67547864e+02,0
-8.79854499e+01,3.02803688e+01,2
-4.94318985e+01,1.91129487e+01,2
3.39646250e+01,-1.16527895e+02,1
1.29099276e+02,-2.08431299e+02,1
1.01162540e+02,2.70259648e+01,0
-1.19612259e+02,6.99195433e+01,2
-4.71419313e+01,-8.39257281e+01,1
-1.12922475e+02,5.61416603e+01,2
-8.29493956e+01,5.20564861e+01,2
6.47672146e+01,4.42979593e+01,0
7.78385010e+01,-1.65345497e+02,1
5.18365128e+01,-1.32260274e+02,1
4.73930815e+01,8.40675211e+01,0
7.12298744e+01,6.65093787e+00,0
-7.30847798e+01,4.84489343e+01,2
9.84322353e+01,-1.54236717e+00,0
1.02118771e+02,8.18090506e-01,0
6.49704437e+01,8.60140962e+01,0
-1.59039678e+02,8.05763413e+01,2
6.84229313e+01,2.17564465e+01,0
2.89783896e+01,-9.01473739e+01,1
9.30109819e+01,-1.60863194e+02,1
-8.34701361e+01,-1.23835655e+01,1
5.21880442e+01,8.11103401e+01,0
