# x_1,x_2,x_3,Class_label
4.88707644e+01,-1.29452582e+02,6.53801520e+01,0
2.07552387e+01,-6.84604269e+01,3.99065477e+01,0
4.22979703e+01,-1.46915981e+02,4.04594667e+01,0
4.48475576e+01,-1.48495814e+02,4.51317000e+01,0
8.63967914e+00,-9.16441968e+01,-6.44906964e-01,0
4.83550843e+01,-2.02849931e+02,2.03623447e+01,0
4.06879540e+01,-1.51537444e+02,3.41495739e+01,1
-1.01518468e+01,1.53088187e+01,2.19007573e+01,0
2.57154644e-01,-1.14491400e+02,-3.27712344e+01,1
3.39171665e+01,-1.17067069e+02,3.98421322e+01,0
1.39010291e+00,-1.04037793e+02,-2.40254872e+01,1
3.06337837e+01,-6.77634983e+01,6.20857298e+01,0
8.76323918e+00,-1.08791294e+02,-1.06243650e+01,1
5.42373753e+00,-1.37123315e+02,-3.49200580e+01,0
-5.45367908e+00,-9.05968739e+01,-3.10665274e+01,1
1.15819391e+01,-4.68315223e+01,3.26288776e+01,0
3.29279886e+00,-7.09799968e+01,-6.97090468e-02,0
-9.51542641e+00,-9.13228805e+01,-4.04486432e+01,1
5.23359899e+01,-1.75735893e+02,4.53428650e+01,0
4.88412743e+01,-1.51041770e+02,5.24077493e+01,0
-2.62512416e-01,-1.11450783e+02,-3.20981841e+01,1
-2.05033394e+00,-1.07052627e+02,-3.34072626e+01,1
-2.66006353e-01,-1.05776937e+02,-2.87136834e+01,1
8.13513465e+00,-1.00021903e+02,-6.76516582e+00,1
-7.60401020e+00,-9.34754012e+01,-3.75246967e+01,1
1.31431717e+01,-9.63541928e+01,6.46037738e+00,0
1.25128899e+01,-1.29721288e+02,-1.48771817e+01,1
6.45556069e-01,-1.10845038e+02,-2.97355480e+01,1
2.79235613e+00,-9.06290789e+01,-1.29197013e+01,1
3.07025207e+01,-1.06244567e+02,3.92306452e+01,0
5.72062453e+01,-1.70212227e+02,5.93744868e+01,0
-1.73766311e+00,-9.90290379e+01,-2.79214170e+01,1
-1.33925859e+00,-1.17528026e+02,-3.81036401e+01,1
2.15809150e+01,-6.24522859e+01,4.53175808e+01,0
3.71872668e+01,-1.11255866e+02,5.05205081e+01,0
1.68326940e+00,-2.77916022e+01,2.22053463e+01,0
-1.19825338e+01,-1.18384745e+02,-6.20630621e+01,1
3.99360050e+00,-1.18816590e+02,-2.71256975e+01,1
-5.70488439e+00,-9.88340282e+01,-3.65446470e+01,1
-5.99948856e+00,-1.06027736e+02,-4.14945338e+01,1
-8.77621920e+00,-8.47343132e+01,-3.48810852e+01,1
4.87686776e+00,-1.16071463e+02,-2.35386355e+01,1
-9.21062284e+00,-6.52430006e+01,-2.41848919e+01,1
-4.75660769e+00,-1.03932148e+02,-3.75035773e+01,1
-1.19012989e+01,-6.90184999e+01,-3.23697140e+01,1
-1.10295076e+01,-8.46632205e+01,-3.98025935e+01,1
-1.20967020e+00,-7.58120479e+01,-1.28776016e+01,1
2.67273740e+01,-4.75430798e+01,6.55689738e+01,0
5.34721629e+00,-5.09911379e+01,1.64068426e+01,0
1.72373615e+00,-1.12223082e+02,-2.81841943e+01,1
5.07166723e+01,-8.73399594e+01,9.46243958e+01,0
-3.10348953e+00,-1.02782678e+02,-3.31745162e+01,1
6.10189944e-01,-6.89062703e+01,-4.73970757e+00,1
4.77991093e+01,-2.19091519e+02,9.42723811e+00,0
4.01817332e+01,-1.64921770e+02,2.50323355e+01,0
-2.56534950e+00,-1.27258933e+02,-4.66225039e+01,1
2.67951140e+01,-4.01184375e+01,7.01571448e+01,0
-2.00084688e+01,-9.85213059e+01,-6.78685899e+01,1
-2.18259630e+00,-1.07062623e+02,-3.37046138e+01,1
5.69794212e+01,-1.61798042e+02,6.39053444e+01,0
3.28482988e+01,-1.27899049e+02,3.10113388e+01,0
8.61865380e+00,-1.28256089e+02,-2.25802216e+01,1
4.18747881e+01,-1.17849111e+02,5.69052787e+01,0
-1.51003171e+00,-4.15352022e+01,6.95365128e+00,0
3.36962318e+01,-1.25454414e+02,3.43409049e+01,0
4.88990970e+01,-1.19781654e+02,7.12244855e+01,0
-1.15079391e+00,-1.01247060e+02,-2.79546189e+01,1
-2.51938271e+00,-1.17268195e+02,-4.05481183e+01,1
6.07358767e+00,-1.32380625e+02,-3.06529411e+01,1
4.51198955e+01,-1.59372998e+02,3.92285671e+01,0
-4.08252301e+00,-8.95233804e+01,-2.74040548e+01,1
-8.88112833e+00,-6.86286019e+01,-2.54831479e+01,1
-1.41558814e+01,-7.78142958e+01,-4.25952821e+01,1
2.45123185e+00,-2.08954180e+01,2.80201659e+01,0
3.61729406e+01,-1.68320258e+02,1.41690944e+01,0
4.26337712e+01,-1.45567817e+02,4.20052601e+01,0
2.82908190e+01,-1.37108069e+02,1.54654172e+01,0
5.27476949e+01,-1.93478828e+02,3.56419614e+01,0
6.85925168e+01,-1.73709212e+02,8.23678050e+01,0
1.43816722e+01,-3.82953464e+01,4.39001988e+01,0
5.86479220e+01,-2.31379628e+02,2.59806187e+01,0
2.96137224e+01,-8.65570991e+01,4.86024767e+01,0
3.13741613e+00,-9.76012756e+01,-1.63279689e+01,1
4.51870066e+01,-1.23894344e+02,6.05878844e+01,0
3.12110030e+01,-7.88583242e+01,5.67241320e+01,0
-6.91807985e-01,-1.13896930e+02,-3.45063931e+01,1
-2.46831169e+00,-9.78123898e+01,-2.88036493e+01,1
1.17428177e+01,-2.37389807e+01,4.67895339e+01,0
5.22923385e+01,-1.61703962e+02,5.36359114e+01,0
1.85479155e+01,-5.91546736e+01,4.06073884e+01,0
2.08247054e+00,-1.13458476e+02,-2.81324990e+01,1
1.21837070e+01,-1.41580783e+02,-2.26927595e+01,1
-2.63809885e+00,-8.26311457e+01,-2.01013461e+01,1
4.16966885e+01,-1.97504303e+02,8.88981429e+00,0
5.07099430e+01,-1.63937639e+02,4.88144426e+01,0
3.67084324e+01,-1.56630267e+02,2.23378324e+01,0
4.84991103e+01,-1.48214896e+02,5.33440502e+01,0
4.27996498e+01,-1.21035877e+02,5.70374982e+01,0
7.50260575e+00,-1.14429503e+02,-1.67724428e+01,1
1.84315198e+01,-7.92504750e+01,2.83363766e+01,0
4.20756618e+01,-1.73252319e+02,2.42241258e+01,0
6.83528098e+00,-1.13367050e+02,-1.76073601e+01,1
-5.01474180e+00,-1.06682360e+02,-3.97165062e+01,1
6.35662116e+01,-2.11409888e+02,4.87548727e+01,0
1.03445654e+01,-1.17562303e+02,-1.23845771e+01,1
7.70286310e+00,-7.15134059e+01,9.32679009e+00,1
2.02282839e+00,-1.11429074e+02,-2.70505812e+01,1
7.90381820e+01,-2.17583745e+02,7.91486075e+01,1
1.98755194e+01,-1.17461916e+02,8.67220788e+00,1
6.30483662e+00,-1.18259384e+02,-2.17008918e+01,1
1.25388944e+01,-1.01646700e+02,1.96494072e+00,1
-2.20338425e+01,-7.38065621e+01,-5.75544057e+01,1
